file,frame,distance_safe,sitting
60cm.h5,0,True,True
60cm.h5,1,True,True
60cm.h5,2,True,True
60cm.h5,3,True,True
60cm.h5,4,True,True
60cm.h5,5,True,True
60cm.h5,6,True,True
60cm.h5,7,True,True
60cm.h5,8,True,True
60cm.h5,9,True,True
60cm.h5,10,True,True
60cm.h5,11,True,True
60cm.h5,12,True,True
60cm.h5,13,True,True
60cm.h5,14,True,True
60cm.h5,15,True,True
60cm.h5,16,True,True
60cm.h5,17,True,True
60cm.h5,18,True,True
60cm.h5,19,True,True
60cm.h5,20,True,False
60cm.h5,21,True,True
60cm.h5,22,True,True
60cm.h5,23,True,True
60cm.h5,24,True,True
60cm.h5,25,True,True
60cm.h5,26,True,True
60cm.h5,27,True,True
60cm.h5,28,True,True
60cm.h5,29,True,True
60cm.h5,30,True,True
60cm.h5,31,True,True
60cm.h5,32,True,True
60cm.h5,33,True,True
60cm.h5,34,True,True
60cm.h5,35,True,True
60cm.h5,36,True,True
60cm.h5,37,True,True
60cm.h5,38,True,True
60cm.h5,39,True,True
60cm.h5,40,True,True
60cm.h5,41,True,True
60cm.h5,42,True,True
60cm.h5,43,True,True
60cm.h5,44,True,True
60cm.h5,45,True,False
60cm.h5,46,True,True
60cm.h5,47,True,False
60cm.h5,48,True,True
60cm.h5,49,True,True
60cm.h5,50,True,True
60cm.h5,51,True,True
60cm.h5,52,True,True
60cm.h5,53,True,True
60cm.h5,54,True,True
60cm.h5,55,True,True
60cm.h5,56,True,True
60cm.h5,57,True,True
60cm.h5,58,True,True
60cm.h5,59,True,True
60cm.h5,60,True,True
60cm.h5,61,True,True
60cm.h5,62,True,True
60cm.h5,63,True,True
60cm.h5,64,True,True
60cm.h5,65,True,True
60cm.h5,66,True,True
60cm.h5,67,True,True
60cm.h5,68,True,True
60cm.h5,69,True,True
60cm.h5,70,True,True
60cm.h5,71,True,True
60cm.h5,72,True,True
60cm.h5,73,True,True
60cm.h5,74,True,True
60cm.h5,75,True,True
60cm.h5,76,True,True
60cm.h5,77,True,True
60cm.h5,78,True,True
60cm.h5,79,True,True
60cm.h5,80,True,True
60cm.h5,81,True,True
60cm.h5,82,True,True
60cm.h5,83,True,True
60cm.h5,84,True,True
60cm.h5,85,True,True
60cm.h5,86,True,True
60cm.h5,87,True,True
60cm.h5,88,True,True
60cm.h5,89,True,True
60cm.h5,90,True,True
60cm.h5,91,True,True
60cm.h5,92,True,True
60cm.h5,93,True,True
60cm.h5,94,True,True
60cm.h5,95,True,True
60cm.h5,96,True,True
60cm.h5,97,True,True
60cm.h5,98,True,True
60cm.h5,99,True,True
60cm.h5,100,True,True
60cm.h5,101,True,True
60cm.h5,102,True,True
60cm.h5,103,True,True
60cm.h5,104,True,True
60cm.h5,105,True,True
60cm.h5,106,True,True
60cm.h5,107,True,True
60cm.h5,108,True,True
